run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,0,100,8.0,412.0,789.0,37.0,191.0,85.76612254914879,0.0,true
2,0,100,5.0,447.0,754.0,38.0,196.0,86.89225784788624,0.0,true
3,0,100,1.0,427.0,777.0,39.0,184.0,87.13059757195342,0.0,true
4,0,100,2.0,433.0,769.0,33.0,188.0,86.20651473336335,0.0,true
5,0,100,1.0,440.0,762.0,34.0,187.0,85.39307892752149,0.0,true
6,0,100,1.0,411.0,790.0,36.0,189.0,86.4707667674895,0.0,true
7,0,100,8.0,436.0,765.0,33.0,192.0,85.55330259077755,0.0,true
8,0,100,4.0,434.0,769.0,32.0,192.0,86.20499335345878,0.0,true
9,0,100,4.0,429.0,772.0,35.0,187.0,86.38624009864233,0.0,true
10,0,100,3.0,443.0,758.0,37.0,188.0,87.0250511421448,0.0,true
