run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,0,0,19.0,550.0,652.0,12.0,193.0,88.64339958966713,0.0,True
2,0,0,19.0,660.0,541.0,12.0,194.0,89.3001526410424,0.0,True
3,0,0,14.0,573.0,630.0,8.0,188.0,88.82271584748116,0.0,True
4,0,0,20.0,489.0,712.0,6.0,204.0,89.9600392046554,0.0,True
5,0,0,54.0,629.0,572.0,10.0,202.0,88.84405063612274,0.0,True
6,0,0,19.0,578.0,624.0,13.0,200.0,89.68620239335928,0.0,True
7,0,0,38.0,640.0,563.0,7.0,192.0,89.50680582273495,0.0,True
8,0,0,35.0,641.0,562.0,10.0,191.0,89.54197407525407,0.0,True
9,0,0,28.0,575.0,629.0,7.0,203.0,89.36188364151309,0.0,True
10,0,0,37.0,636.0,565.0,11.0,194.0,88.74597694479824,0.0,True
1,0,100,8.0,412.0,789.0,37.0,191.0,85.76612254914879,0.0,True
2,0,100,5.0,447.0,754.0,38.0,196.0,86.89225784788624,0.0,True
3,0,100,1.0,427.0,777.0,39.0,184.0,87.13059757195342,0.0,True
4,0,100,2.0,433.0,769.0,33.0,188.0,86.20651473336335,0.0,True
5,0,100,1.0,440.0,762.0,34.0,187.0,85.39307892752149,0.0,True
6,0,100,1.0,411.0,790.0,36.0,189.0,86.4707667674895,0.0,True
7,0,100,8.0,436.0,765.0,33.0,192.0,85.55330259077755,0.0,True
8,0,100,4.0,434.0,769.0,32.0,192.0,86.20499335345878,0.0,True
9,0,100,4.0,429.0,772.0,35.0,187.0,86.38624009864233,0.0,True
10,0,100,3.0,443.0,758.0,37.0,188.0,87.0250511421448,0.0,True
1,0,50,1.0,390.0,813.0,42.0,194.0,86.85737749641318,0.0,True
2,0,50,4.0,393.0,808.0,40.0,196.0,86.6036214986359,0.0,True
3,0,50,7.0,398.0,805.0,37.0,196.0,86.85910495574772,0.0,True
4,0,50,3.0,382.0,819.0,40.0,192.0,87.33807019611936,0.0,True
5,0,50,8.0,392.0,809.0,39.0,202.0,87.36244596512134,0.0,True
6,0,50,4.0,363.0,839.0,36.0,200.0,85.50672887669441,0.0,True
7,0,50,8.0,424.0,777.0,36.0,184.0,84.9663625249289,0.0,True
8,0,50,2.0,382.0,820.0,35.0,192.0,87.85645456630628,0.0,True
9,0,50,5.0,404.0,798.0,36.0,187.0,85.8804853564213,0.0,True
10,0,50,2.0,440.0,761.0,38.0,187.0,86.41488773351935,0.0,True
1,100,0,837.0,146.0,0.0,445.0,223.0,76.23911791388275,97.88760903420766,False
2,100,0,837.0,160.0,0.0,449.0,228.0,78.54329208471707,98.13829457098494,False
3,100,0,837.0,131.0,0.0,414.0,216.0,75.823288009774,98.18175364663024,False
4,100,0,837.0,180.0,0.0,430.0,222.0,75.98260452325327,96.3902302815426,False
5,100,0,840.0,229.0,0.0,434.0,224.0,79.82137197762106,96.69056315504947,False
6,100,0,843.0,154.0,0.0,430.0,215.0,77.90412528712079,96.98900588833432,False
7,100,0,837.0,173.0,0.0,436.0,232.0,78.77052002880889,98.11824985702776,False
8,100,0,838.0,171.0,0.0,408.0,219.0,76.75457569480217,99.32316498936731,False
9,100,0,837.0,100.0,0.0,446.0,213.0,75.65359699559228,98.212895105679,False
10,100,0,836.0,153.0,0.0,433.0,228.0,76.16075465896812,97.5060358369014,False
1,100,100,836.0,135.0,226.0,270.0,279.0,87.59241681701921,82.37476359769015,False
2,100,100,838.0,186.0,170.0,309.0,250.0,74.4657628797108,77.55030611285717,False
3,100,100,838.0,186.0,212.0,277.0,242.0,77.06370114531492,75.49994175927499,False
4,100,100,839.0,127.0,171.0,326.0,252.0,85.42750799414519,78.62656925798913,False
5,100,100,837.0,121.0,136.0,358.0,240.0,87.52637453540679,73.49099271388573,False
6,100,100,838.0,352.0,220.0,275.0,288.0,89.34384973690025,74.69124372862386,False
7,100,100,836.0,185.0,178.0,321.0,273.0,93.31876766204084,77.73767407065358,False
