run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
1,90,70,840.0,317.0,0.0,446.0,31.9,91.5413560350112,80.53761645925209,False
2,90,70,837.0,145.0,5.0,486.0,22.3,79.70592568681255,82.93909422845734,False
3,90,70,839.0,131.0,3.0,457.0,22.4,77.04081678498041,82.36839733276027,False
1,40,90,173.0,657.0,544.0,48.0,25.2,94.91180578900092,0.0,True
2,40,90,292.0,700.0,501.0,48.0,25.7,96.01510676486288,0.0,True
3,40,90,285.0,700.0,502.0,47.0,25.9,96.38945534472376,0.0,True
1,50,80,351.0,729.0,472.0,47.0,26.0,95.94708487334816,0.0,True
2,50,80,345.0,709.0,492.0,49.0,24.9,95.6920687111572,0.0,True
3,50,80,419.0,746.0,456.0,44.0,27.3,96.02616319570473,0.0,True
1,100,90,840.0,92.0,0.0,462.0,21.6,74.99925055377669,75.37039346327015,False
2,100,90,838.0,226.0,0.0,458.0,28.2,95.76204108473938,76.02633546675979,False
3,100,90,841.0,275.0,0.0,384.0,24.4,81.27446984651552,71.10285690486232,False
1,80,60,840.0,354.0,14.0,456.0,33.8,90.32400129126384,83.26296649317082,False
2,80,60,839.0,190.0,2.0,476.0,22.7,74.18102301561716,77.81599074547181,False
3,80,60,839.0,202.0,7.0,463.0,22.4,74.78955003497018,81.63801605016555,False
1,100,100,848.0,307.0,19.0,401.0,23.3,80.13795622736075,60.540163951369294,False
2,100,100,839.0,201.0,12.0,391.0,22.6,79.56089490515842,66.53569379365642,False
3,100,100,837.0,236.0,10.0,398.0,22.0,80.27720319821518,64.72481379512313,False
1,70,30,836.0,382.0,36.0,441.0,29.5,91.17275012100524,90.72487555987844,False
2,70,30,838.0,493.0,29.0,455.0,30.1,96.88434832958076,92.37538865020775,False
3,70,30,836.0,464.0,24.0,470.0,28.6,80.61091668151313,90.77756051969382,False
1,40,50,303.0,795.0,406.0,49.0,26.4,96.62822905811352,0.0,True
2,40,50,434.0,851.0,351.0,45.0,27.6,97.700006033949,0.0,True
3,40,50,429.0,810.0,391.0,42.0,28.1,95.3581932980693,0.0,True
1,0,30,1.0,398.0,803.0,42.0,22.0,89.43236681167218,0.0,True
2,0,30,7.0,436.0,765.0,41.0,21.2,89.06380333559785,0.0,True
3,0,30,2.0,364.0,838.0,40.0,22.7,90.47789000781832,0.0,True
1,30,10,458.0,925.0,276.0,41.0,25.3,91.1205986270472,0.7675650012079142,True
2,30,10,422.0,975.0,227.0,45.0,24.8,94.11786705558724,0.0,True
3,30,10,387.0,964.0,237.0,44.0,25.2,92.35333024849932,0.0,True
1,100,50,838.0,149.0,0.0,493.0,22.5,75.07261129014996,94.03089122123322,False
2,100,50,841.0,152.0,0.0,498.0,22.0,78.56275391474011,94.2029080656996,False
3,100,50,838.0,65.0,0.0,496.0,21.5,76.39397209354789,93.75575822283542,False
1,50,40,616.0,978.0,223.0,48.0,32.3,98.01316895360137,0.0,True
2,50,40,565.0,973.0,228.0,49.0,29.1,97.41648171006533,0.0,True
3,50,40,713.0,970.0,231.0,40.0,31.8,96.62205850754806,5.523125397844824,True
1,60,0,838.0,535.0,33.0,401.0,30.0,84.35112617154326,93.40731627083711,False
2,60,0,844.0,598.0,45.0,397.0,29.3,92.86604206655944,95.65821829984765,False
3,60,0,928.0,903.0,70.0,193.0,0.0,53.36746023549414,85.12533975347586,False
1,10,60,41.0,462.0,740.0,39.0,23.0,91.9631380514095,0.0,True
2,10,60,20.0,390.0,813.0,40.0,22.2,90.53363532161836,0.0,True
3,10,60,10.0,384.0,817.0,43.0,21.4,90.19301694634258,0.0,True
1,60,20,914.0,1111.0,92.0,44.0,48.3,91.21514081146483,26.29948734469784,True
2,60,20,771.0,1090.0,114.0,39.0,43.8,99.42547413999672,15.007518775908938,True
3,60,20,836.0,703.0,64.0,322.0,42.4,86.79734507454104,86.09724944056732,False
1,60,30,837.0,608.0,49.0,358.0,29.4,86.26564595064293,79.78837571270483,False
2,60,30,837.0,584.0,20.0,416.0,33.7,97.14259582206869,80.80495724274843,False
3,60,30,837.0,579.0,47.0,411.0,28.5,89.93740483836397,85.77242597736925,False
1,10,70,26.0,483.0,718.0,40.0,22.8,91.56915617115848,0.0,True
2,10,70,28.0,449.0,752.0,41.0,22.8,90.2863265521212,0.0,True
3,10,70,26.0,484.0,719.0,44.0,22.6,92.08387233295842,0.0,True
1,20,10,163.0,813.0,389.0,39.0,21.3,93.18016525644911,0.0,True
2,20,10,176.0,818.0,383.0,37.0,22.0,92.55979372601251,0.0,True
3,20,10,226.0,879.0,323.0,43.0,22.2,91.9548250088077,0.0,True
1,50,50,505.0,906.0,296.0,45.0,28.2,96.4556369803589,0.0,True
2,50,50,559.0,924.0,277.0,47.0,30.4,98.54729260285396,0.0,True
3,50,50,524.0,925.0,279.0,46.0,29.0,97.50457528903556,0.0,True
1,100,40,844.0,78.0,0.0,496.0,22.0,74.40086191070678,94.59751070239956,False
2,100,40,842.0,105.0,0.0,500.0,21.9,74.81029775467054,96.24476349144092,False
3,100,40,836.0,86.0,0.0,500.0,21.9,79.87925961553479,96.12790910990836,False
1,80,0,838.0,356.0,8.0,488.0,28.5,86.77215357057486,98.6066661797088,False
2,80,0,838.0,151.0,3.0,491.0,21.7,75.2564825895124,94.48713859046453,False
3,80,0,836.0,448.0,2.0,486.0,30.6,93.53381591850447,98.63635555243135,False
1,0,20,4.0,418.0,784.0,40.0,20.8,90.00201398404099,0.0,True
2,0,20,2.0,468.0,734.0,35.0,20.4,88.48409657645144,0.0,True
3,0,20,2.0,458.0,743.0,41.0,21.4,89.23732522008423,0.0,True
1,40,40,418.0,855.0,346.0,44.0,26.5,94.428102548146,0.0,True
2,40,40,456.0,900.0,301.0,49.0,27.4,96.33253153588424,0.0,True
3,40,40,422.0,901.0,301.0,46.0,26.7,97.7129279970732,0.0,True
1,70,20,836.0,524.0,31.0,447.0,35.8,87.96537816489852,94.78075454676748,False
2,70,20,836.0,460.0,37.0,451.0,36.8,87.02570515551315,93.65973926762555,False
3,70,20,836.0,557.0,8.0,441.0,33.9,96.28474074475967,92.64355619827244,False
1,40,0,614.0,963.0,241.0,41.0,31.6,95.30922259925252,40.0462686548504,True
2,40,0,557.0,1029.0,173.0,38.0,28.9,94.14182708728111,16.561550107477657,True
3,40,0,604.0,1002.0,201.0,27.0,29.0,92.51774289003622,21.71911275931634,True
1,10,100,36.0,487.0,714.0,44.0,21.1,89.43865799673029,0.0,True
2,10,100,32.0,473.0,728.0,48.0,20.4,89.54781784818043,0.0,True
3,10,100,33.0,454.0,747.0,47.0,20.8,88.47341469152526,0.0,True
1,100,80,836.0,88.0,0.0,471.0,21.2,77.70996534390558,82.11308520389376,False
2,100,80,837.0,173.0,0.0,485.0,26.0,88.2598719905531,83.78483061453217,False
3,100,80,841.0,171.0,0.0,462.0,21.3,73.2643396615672,81.98067751263264,False
