mexican_concentration,cos_fatigue,texian_casualties_mean,texian_casualties_std,texian_casualties_min,texian_casualties_max,mexican_casualties_mean,mexican_casualties_std,mexican_casualties_min,mexican_casualties_max,mexican_captured_mean,mexican_captured_std,mexican_captured_min,mexican_captured_max,cos_remaining_mean,cos_remaining_std,cos_remaining_min,cos_remaining_max,battle_duration_minutes_mean,battle_duration_minutes_std,battle_duration_minutes_min,battle_duration_minutes_max,texian_side_morale_mean,texian_side_morale_std,texian_side_morale_min,texian_side_morale_max,mexican_side_morale_mean,mexican_side_morale_std,mexican_side_morale_min,mexican_side_morale_max,texian_win_rate,runs
0,0,16.666666666666668,3.0550504633038935,14.0,20.0,548.6666666666666,63.26399713370419,489.0,615.0,652.6666666666666,63.73643646559898,586.0,713.0,33.666666666666664,1.5275252316519456,32.0,35.0,20.666666666666668,0.5507570547286099,20.1,21.2,89.06681268896962,0.8124444713516448,88.14026424425734,89.65735436093793,0.0,0.0,0.0,0.0,1.0,3
0,10,8.0,2.6457513110645907,5.0,10.0,527.0,28.160255680657446,495.0,548.0,675.6666666666666,27.06165799305974,654.0,706.0,35.333333333333336,1.5275252316519468,34.0,37.0,20.96666666666667,0.5686240703077347,20.5,21.6,89.89470299983425,1.2553485341238233,88.61021796470393,91.11873034705856,0.0,0.0,0.0,0.0,1.0,3
0,20,2.6666666666666665,1.1547005383792515,2.0,4.0,448.0,26.457513110645905,418.0,468.0,753.6666666666666,26.652079343520892,734.0,784.0,38.666666666666664,3.214550253664319,35.0,41.0,20.866666666666664,0.503322295684716,20.4,21.4,89.24114526019223,0.7589659139880165,88.48409657645144,90.00201398404099,0.0,0.0,0.0,0.0,1.0,3
0,30,3.3333333333333335,3.2145502536643185,1.0,7.0,399.3333333333333,36.018513757973594,364.0,436.0,802.0,36.51027252705737,765.0,838.0,41.0,1.0,40.0,42.0,21.96666666666667,0.7505553499465127,21.2,22.7,89.65802005169611,0.7335528731372085,89.06380333559785,90.47789000781832,0.0,0.0,0.0,0.0,1.0,3
0,40,5.666666666666667,7.234178138070234,1.0,14.0,428.3333333333333,32.516662395352526,403.0,465.0,773.0,31.953090617340916,737.0,798.0,45.666666666666664,1.154700538379251,45.0,47.0,20.066666666666666,0.6429100507328648,19.6,20.8,86.89250248158363,1.294356277813961,85.7139242766449,88.2777647211933,0.0,0.0,0.0,0.0,1.0,3
0,50,0.6666666666666666,0.5773502691896258,0.0,1.0,383.3333333333333,15.176736583776282,367.0,397.0,818.0,14.730919862656235,805.0,834.0,44.666666666666664,2.081665999466132,43.0,47.0,19.766666666666666,0.15275252316519344,19.6,19.9,86.6160434012276,0.7498761924991568,85.77404983254493,87.21196710402292,0.0,0.0,0.0,0.0,1.0,3
0,60,0.0,0.0,0.0,0.0,381.3333333333333,27.319101986217145,351.0,404.0,821.3333333333334,28.1839197652373,799.0,853.0,41.666666666666664,2.5166114784235836,39.0,44.0,19.433333333333334,0.2309401076758495,19.3,19.7,86.18653352338502,0.3170871537074079,85.86460371225398,86.49854531099422,0.0,0.0,0.0,0.0,1.0,3
0,70,1.0,1.7320508075688772,0.0,3.0,386.3333333333333,38.13572253587618,344.0,418.0,815.3333333333334,37.87259343289464,783.0,857.0,43.666666666666664,2.0816659994661335,42.0,46.0,19.633333333333333,0.6027713773341704,19.0,20.2,87.15443845000384,0.4827294630518715,86.66856102709849,87.63395713087804,0.0,0.0,0.0,0.0,1.0,3
0,80,3.3333333333333335,3.2145502536643185,1.0,7.0,383.0,21.166010488516726,359.0,399.0,818.0,21.166010488516726,802.0,842.0,43.333333333333336,3.0550504633038926,40.0,46.0,20.366666666666667,0.25166114784235816,20.1,20.6,87.47835317346794,0.7401997903958153,86.62418951459462,87.93187479483112,0.0,0.0,0.0,0.0,1.0,3
0,90,1.6666666666666667,1.5275252316519465,0.0,3.0,377.3333333333333,15.631165450257805,363.0,394.0,824.0,16.09347693943108,807.0,839.0,44.0,1.7320508075688772,43.0,46.0,20.099999999999998,0.1732050807568879,19.9,20.2,86.74716067232276,0.8565193132774973,85.83762547721967,87.5383575056267,0.0,0.0,0.0,0.0,1.0,3
0,100,2.0,2.0,0.0,4.0,367.6666666666667,11.150485789118482,355.0,376.0,834.0,12.288205727444508,825.0,848.0,43.0,2.0,41.0,45.0,20.0,0.26457513110646047,19.8,20.3,87.12138781224155,0.45543720055565623,86.65675565194721,87.56703640365959,0.0,0.0,0.0,0.0,1.0,3
10,0,154.66666666666666,10.066445913694329,144.0,164.0,773.3333333333334,15.011106998930261,756.0,782.0,429.6666666666667,15.143755588800733,419.0,447.0,36.333333333333336,3.055050463303893,33.0,39.0,21.400000000000002,0.29999999999999805,21.1,21.7,91.4223447513372,0.38899269777986034,90.9843069629626,91.72743042711284,0.0,0.0,0.0,0.0,1.0,3
10,10,83.0,5.291502622129181,79.0,89.0,654.6666666666666,42.85246006162696,609.0,694.0,547.6666666666666,43.385865593915874,508.0,594.0,39.666666666666664,3.0550504633038926,37.0,43.0,21.8,0.43588989435406844,21.3,22.1,91.98072615605027,0.7939704087000272,91.39611985745933,92.88463834437896,0.0,0.0,0.0,0.0,1.0,3
10,20,85.66666666666667,34.122328955294556,64.0,125.0,644.0,67.53517601961218,588.0,719.0,558.0,65.87108622149782,485.0,613.0,42.333333333333336,4.0414518843273814,38.0,46.0,22.366666666666664,0.7505553499465134,21.6,23.1,92.42488630525793,1.9749829658320057,90.5528852305687,94.4888348456587,0.0,0.0,0.0,0.0,1.0,3
10,30,45.333333333333336,11.676186592091328,35.0,58.0,528.6666666666666,22.501851775650238,503.0,545.0,672.3333333333334,22.501851775650238,656.0,698.0,42.0,3.605551275463989,39.0,46.0,22.5,1.1532562594670792,21.3,23.6,91.4526388590453,0.7124639218382836,90.6375146086493,91.95655544565248,0.0,0.0,0.0,0.0,1.0,3
